Customer_ID,Full_Name,Contact_Email,Phone_Number,Signup_Date,Country,Subscription_Tier,Total_Spend_USD,Account_Status
CUST-1483,Christina Davis,xsmith@example.net,(909)781-9602,2022-08-27,Palau,Basic,752.28,Pending
CUST-1647,David Rice,douglasbrandt@example.org,716-288-0925,2022-06-10,Bosnia and Herzegovina,Pro,3827.27,Pending
CUST-1141,Scott Jackson,jonathangarcia@example.net,+1-213-880-0030x75622,2022-11-05,Egypt,Basic,167.14,Active
CUST-1128,Debra Daniels,amber07@example.net,361.934.0745,2026-01-18,British Indian Ocean Territory (Chagos Archipelago),Basic,257.05,Inactive
CUST-1212,Regina Mitchell,bowerswilliam@example.net,692.805.3021,2023-06-28,Indonesia,Pro,949.56,Inactive
CUST-1119,Brian Elliott,erinpierce@example.net,837.841.6724x342,2022-02-03,Netherlands Antilles,Pro,2551.77,Inactive
CUST-1350,Clarence Long,butlerjanet@example.com,001-377-694-5232,2026-01-30,Botswana,Basic,2536.34,Pending
CUST-1818,Anthony Hernandez,darrellmoore@example.net,001-876-372-0191x116,15/05/2022,Cocos (Keeling) Islands,Enterprise,2936.58,Active
CUST-1237,Neil Schmidt,jamessandoval@example.net,+1-828-786-1957x6122,2025-01-04,Martinique,Enterprise,4463.3,Inactive
CUST-1353,Tracey Ruiz,mrichards@example.com,001-660-250-1667,2024-02-28,Libyan Arab Jamahiriya,Basic,3626.1,Inactive
CUST-1001,Connie Lawrence,blakeerik@example.com,942-335-1161x55940,2026-08-03,Honduras,Pro,1262.21,Active
CUST-1148,Kristi Pierce,murraylinda@example.org,600-332-3651,30/10/2021,Bahrain,Pro,3656.3,Inactive
CUST-1334,David Ramirez,michaelbaldwin@example.com,7903034864,2024-05-25,Dominica,Basic,1948.75,Pending
CUST-1768,Thomas Clark,james84@example.net,216-532-1119x78718,2022-12-05,Bermuda,Pro,729.5,Pending
CUST-1973,Laura Gonzalez,,537-588-0331x83611,2025-11-07,Mali,Pro,1637.29,Pending
CUST-1173,William Edwards,smithjoshua@example.org,001-827-912-9666,2023-08-22,Argentina,Basic,170.91,Active
CUST-1158,John Shields,franciscojones@example.org,705-941-1526x2181,2025-03-31,Jersey,Enterprise,1580.96,Inactive
CUST-1132,Ronald Morgan,ashleewashington@example.com,+1-600-417-0127x70632,2026-02-04,Turkey,Enterprise,3759.91,Active
CUST-1844,Lydia Payne,clinesteven@example.net,(514)717-4681,2024-11-01,Uruguay,Entrp,216.2,Pending
CUST-1817,Monica Matthews,elizabeth14@example.org,948.330.9309x6713,2024-10-07,Brazil,Pro,625.39,Active
CUST-1022,Patricia Gibson,jennifercruz@example.com,220.516.3287,2026-04-24,British Virgin Islands,Basic,3367.37,Pending
CUST-1544,Morgan Campbell,cynthiadavis@example.net,001-830-561-7893x2064,2024-11-29,Liberia,Pro,3883.6,Pending
CUST-1619,   julie taylor  #,aaron48@example.net,439-891-0622x7236,2023-09-05,Congo,Basic,4434.66,Inactive
CUST-1985,Michele Sims,theresa61@example.com,+1-747-731-5663x9792,2025-09-03,Brazil,Enterprise,2521.55,Pending
CUST-1441,Sierra Mills,gregoryrichardson@example.org,650.967.6251x53814,11/03/2023,Croatia,Basic,2407.42,Inactive
CUST-1430,Danielle Wilson,sburns@example.net,(361)376-4750,2022-02-18,Liechtenstein,Basic,3945.54,Active
CUST-1095,Ryan Peck,osbornrandy@example.com,(640)904-9915,2026-09-02,Mayotte,basc,2941.68,Pending
CUST-1384,Crystal Greene,chavezsteven@example.com,+1-291-350-7859x311,2024-09-08,Tajikistan,Enterprise,3902.64,Active
CUST-1341,Kyle Jones,williamssarah@example.com,(499)200-4896x465,2024-08-16,Eritrea,Basic,2260.41,Inactive
CUST-1530,David Delgado,martinezashley@example.com,527-870-7070x578,2022-01-06,Wallis and Futuna,Enterprise,417.24,Inactive
CUST-1253,Danielle Medina,grantzachary@example.net,8346764472,2024-10-15,Austria,Enterprise,$2406.66,Pending
CUST-1060,Lawrence Perry,kariwilson@example.com,249-278-4036,2022-09-29,Yemen,Basic,1362.03,Pending
CUST-1714,Sean Gibbs,deborahturner@example.org,(703)574-7677,2024-01-15,Israel,Pro,712.98,Inactive
CUST-1706,Lucas James,jamie76@example.net,850-478-9679x35219,2025-08-30,Cote d'Ivoire,Pro,4980.05,Inactive
CUST-1673,RONNIE BROOKS!!!,fullerdebbie@example.com,(259)404-5990,2024-03-16,Vanuatu,Enterprise,1755.35,Pending
CUST-1789,Christopher Davis,lshannon@example.net,(713)948-6298,2025-08-24,Poland,Pro,3259.01,Pending
CUST-1517,Christopher Rodriguez,ogray@example.net,+1-433-847-7433,2025-10-16,Sudan,Basic,2676.49,Active
CUST-1385,Kenneth Walsh,michael79@example.com,(732)600-2496,22/08/2024,Mauritius,Enterprise,3738.6,Inactive
CUST-1559,Erica Huang,taylorlindsay@example.com,+1-775-348-1386x66754,2026-02-20,Tajikistan,Pro,140.24,Inactive
CUST-1555,Jennifer Phillips,uforbes@example.net,785-695-9224x839,2024-01-31,Cote d'Ivoire,Pro,$4075.26,Pending
CUST-1471,John Scott,isantos@example.org,001-970-754-6692,14/04/2024,Nigeria,Pro,$1790.65,Pending
CUST-1313,Taylor Palmer,kathygeorge@example.org,+1-755-444-5189,2021-10-14,Maldives,Pro,1639.24,Active
CUST-1227,Christopher Mclaughlin,oclayton@example.com,863-589-4484,28/12/2025,Cocos (Keeling) Islands,Pro,2900.19,Inactive
CUST-1435,Angela Scott,ksantos@example.com,414.862.8314x359,2025-10-31,Germany,Basic,2724.07,Active
CUST-1641,Katie Maldonado,lozanocorey@example.org,251.837.3990,2022-10-02,Portugal,Basic,4250.91,Pending
CUST-1921,   benjamin harris  #,karenjordan@example.net,(878)997-6098x7312,2026-03-10,Djibouti,Pro,2785.87,Active
CUST-1123,Crystal Sullivan,jacobsandoval@example.com,5936796603,2025-06-26,Sudan,Basic,3719.09,Pending
CUST-1962,Mr. Michael Jefferson IV,charles83@example.net,341.867.3478x53698,2023-03-10,Myanmar,Pro,889.03,Inactive
CUST-1056,MICHAEL FARRELL!!!,russellbeasley@example.com,376-361-5654x52711,2023-11-19,Samoa,Enterprise,4737.4,Active
CUST-1774,Ryan Mcmillan,nancybrown@example.org,(366)491-0627x153,2025-07-24,Equatorial Guinea,Basic,4824.37,Active
CUST-1653,Sean Anderson,wstewart@example.net,501.611.0005x15532,2025-12-04,Guyana,Enterprise,2259.05,Pending
CUST-1159,Carmen Preston,brianrivera@example.org,(288)744-4310x69872,2021-09-27,Benin,Pro,2041.88,Inactive
CUST-1306,Jonathan Thomas,jreilly@example.org,001-988-254-7492x9751,02/06/2022,Micronesia,Entrp,4188.0,Pending
CUST-1658,Morgan Smith,egonzalez@example.com,(504)965-5866x5254,2023-02-17,Belize,Pro,3355.81,Pending
CUST-1197,Daniel Figueroa,jason82@example.org,(939)343-1290,2023-03-06,Bangladesh,Pro,1687.86,Inactive
CUST-1602,Andrea Hartman,susan57@example.net,625.673.7553,2024-09-27,Venezuela,basc,3093.31,Active
CUST-1534,Kayla Norman,shelby69@example.org,+1-226-911-3989x86818,2025-01-07,Mali,Pro,2922.63,Pending
CUST-1825,Brian Copeland,steven01@example.org,+1-501-381-0306,2023-12-20,Falkland Islands (Malvinas),Basic,274.18,Inactive
CUST-1061,Chad Scott,david76@example.org,(268)838-8516,2021-10-25,Uruguay,Pro,4823.6,Pending
CUST-1830,John Mcdonald,benjamin49@example.org,+1-381-794-9053,2025-08-24,Armenia,Enterprise,4820.72,Inactive
CUST-1601,Jessica Mitchell,,662-629-4938x17359,2025-03-03,Burundi,Enterprise,760.71,Inactive
CUST-1854,Paul Williams,terri25@example.com,824.621.8385x45400,2023-04-02,Heard Island and McDonald Islands,Pro,351.74,Pending
CUST-1388,Erin Singh,richardmckenzie@example.org,(701)250-8124x739,07/08/2026,Congo,Pro,3404.93,Pending
CUST-1157,Meagan Daniel,sean43@example.org,001-915-841-0067x626,2023-06-24,Honduras,Basic,3612.78,Inactive
CUST-1981,Laura Lynch,fflowers@example.com,490-809-9217x79055,2026-05-07,Myanmar,Basic,3424.48,Pending
CUST-1139,Melanie Jones,,416.317.9904,2021-10-14,Burundi,Pro,1151.05,Inactive
CUST-1201,Donna Marshall,sanderswayne@example.net,492.982.7229,2026-06-02,Armenia,Pro,2411.05,Inactive
CUST-1659,Tamara Miller,michelle10@example.org,001-713-312-5129x31100,2022-07-03,Niue,Basic,2772.49,Inactive
CUST-1804,Rebecca Cole,kramirez@example.org,458.454.8596x5594,2023-03-31,Nicaragua,Pro,3466.94,Pending
CUST-1737,William Peck,,921-998-8192,2024-06-28,Micronesia,Pro,1364.38,Pending
CUST-1738,GINA WEBER!!!,hartmandanielle@example.org,786-840-1042x4624,2026-08-18,Marshall Islands,Enterprise,2909.29,Pending
CUST-1552,David Wood,daymartin@example.net,418-823-7931,2024-10-21,Lebanon,Enterprise,3327.57,Active
CUST-1884,Sherry Patterson,caleb84@example.net,+1-713-459-9285x535,2021-12-13,Iceland,Pro,3820.06,Inactive
CUST-1162,Michelle Shaw,davidtodd@example.org,(433)620-6163,28/04/2023,Saint Lucia,Entrp,4518.89,Pending
CUST-1545,Tiffany Humphrey,nancycontreras@example.com,+1-769-558-7413x1467,2025-01-13,Brazil,Enterprise,309.21,Pending
CUST-1828,Jillian Warner,tyler31@example.net,8538396274,2023-11-28,Canada,Basic,1471.1,Active
CUST-1423,Cynthia Lewis,garciavictoria@example.org,(956)343-4712,13/09/2025,Grenada,Pro,541.81,Pending
CUST-1299,SHELLY SULLIVAN!!!,,001-758-204-6498x931,2024-04-18,United States of America,Pro,2995.47,Pending
CUST-1858,Taylor Kirby,vanessa44@example.com,+1-554-946-0838x51799,2025-03-31,Micronesia,Enterprise,1936.72,Pending
CUST-1632,Jerry Santos,thomas21@example.net,(914)694-0976x263,2024-05-31,Peru,Pro,1567.15,Pending
CUST-1698,   jennifer hoffman  #,kendrawilliams@example.com,(447)954-8954x7876,2023-05-29,Puerto Rico,Pro,697.29,Inactive
CUST-1991,Kelly Brown,eharris@example.com,+1-558-233-3647x7041,2024-09-30,Nigeria,Pro,2741.04,Inactive
CUST-1570,Melissa Warren,davidcook@example.org,442-557-6270,2026-02-20,Gabon,Pro,3072.45,Pending
CUST-1364,Jody Bird,michaelmitchell@example.net,001-526-783-1589,2023-12-30,Cameroon,Basic,2246.21,Pending
CUST-1971,Kristen Jackson,george52@example.net,216-218-5759x17105,2023-07-16,Netherlands Antilles,Pro,$2229.1,Inactive
CUST-1947,Jacob Hardy,,463-802-9559x63637,2022-08-01,Nigeria,Entrp,1512.13,Active
CUST-1870,   teresa graham  #,franciscomorrison@example.com,789-917-0454x21854,2025-11-21,Aruba,Enterprise,$3034.46,Active
CUST-1683,Michael Patrick,russomary@example.com,+1-973-904-5195,2024-06-11,Holy See (Vatican City State),Entrp,884.75,Pending
CUST-1777,Michelle Chavez,brandi26@example.net,001-399-669-9648x997,2022-06-13,Slovenia,Pro,1462.81,Active
CUST-1508,Elizabeth Miller,ygardner@example.com,828-975-8575,2023-10-29,Isle of Man,Enterprise,2117.59,Active
CUST-1697,Jeffrey Harrell,qjohnson@example.net,(667)993-2798x623,2025-08-03,Jersey,Enterprise,1630.62,Inactive
CUST-1964,Amy Larsen,josephbass@example.com,513.908.8983x05748,2023-01-12,Timor-Leste,basc,877.68,Inactive
CUST-1531,Steven Arnold,alexanderjonathan@example.com,972-732-2903x102,2021-12-06,Saint Barthelemy,Pro,236.16,Inactive
CUST-1940,Kimberly Knapp,kristinaharrison@example.org,681-422-5909x56684,2026-06-17,Libyan Arab Jamahiriya,Basic,4201.44,Inactive
CUST-1048,Theodore Murphy,ithompson@example.net,(488)542-4745x171,2026-01-09,Saint Kitts and Nevis,Enterprise,3821.71,Pending
CUST-1715,Danielle Thomas,phillipsbrian@example.com,(761)594-5887x0715,2023-04-10,Madagascar,Enterprise,1860.6,Inactive
CUST-1300,Stacy Rodriguez,steven05@example.com,(381)983-2538,2025-05-30,Sao Tome and Principe,Pro,2223.81,Inactive
CUST-1039,Matthew Morales DDS,gibsonleonard@example.com,768-908-7603,2024-11-06,Senegal,basc,806.56,Active
CUST-1310,Justin Page,jamescollier@example.com,+1-570-249-4787,2025-09-05,Cape Verde,Pro,948.37,Pending
CUST-1770,Yolanda Johnson,cookrobert@example.net,(698)603-6577,2025-11-02,Nepal,Basic,3365.68,Pending
CUST-1925,Tammy Dyer,barnesjames@example.com,(804)650-0635x53730,2024-07-19,Nicaragua,Basic,4479.22,Active
CUST-1436,Jessica Johnson DDS,nelsonamanda@example.net,+1-561-651-5542,2021-10-09,Honduras,Basic,3322.24,Active
CUST-1445,Mrs. Katherine Simpson,markduran@example.com,862.211.0225x80305,2023-11-23,French Guiana,Enterprise,1543.07,Pending
CUST-1580,Connie Carr,omatthews@example.net,586-478-0555x57277,2025-02-01,Equatorial Guinea,Enterprise,4263.27,Inactive
CUST-1261,Michelle Krause,wilsonsteven@example.org,001-639-366-0558x3034,2023-04-06,Madagascar,Basic,647.25,Active
CUST-1370,Barbara Mayer,,297.918.9569,2026-01-12,Angola,Basic,440.89,Inactive
CUST-1582,Krystal Perry,potterjustin@example.net,636.482.6911x6331,2026-01-18,Seychelles,Pro,4531.27,Active
CUST-1458,Michael Burton,smithbradley@example.net,618-562-0303x6625,2026-05-01,Poland,Pro,4446.05,Inactive
CUST-1485,JOHNNY WARD!!!,peterhenry@example.org,(217)313-6657x22402,2026-08-08,Guatemala,basc,1912.16,Inactive
CUST-1491,Dr. Jason Martinez Jr.,brittany39@example.org,209-307-4260x8805,2024-01-27,Switzerland,Pro,3326.6,Inactive
CUST-1846,Erik Keller,martinezdennis@example.net,+1-220-575-3605x11716,2025-11-20,Mauritania,basc,3715.68,Inactive
CUST-1315,Gregory Vazquez,lisapreston@example.net,352.840.1322x34232,2025-03-06,Slovenia,Pro,1476.68,Inactive
CUST-1403,Kathy Chan,qhayes@example.org,307.401.7656x36004,2023-05-11,San Marino,Basic,1359.07,Active
CUST-1234,Jordan Parsons,bgross@example.net,(693)751-8638x782,2023-10-09,Gibraltar,Basic,2554.51,Inactive
CUST-1247,Charlotte Mason,tcastro@example.org,7387457620,2023-07-02,Gabon,Basic,2463.37,Inactive
CUST-1179,Christopher Williams,michael56@example.net,610-302-2557,2023-08-02,Guam,Basic,$3903.18,Active
CUST-1612,John Lucero,mtaylor@example.net,3479742585,2024-03-09,Switzerland,Entrp,3795.56,Active
CUST-1616,PAMELA BAKER!!!,ronald08@example.org,637-911-8425,2023-11-26,Wallis and Futuna,Enterprise,952.28,Active
CUST-1713,Scott Martinez,clarkcarol@example.com,519-866-6450x5730,2025-08-07,Sao Tome and Principe,Enterprise,90.48,Active
CUST-1061,Chad Scott,david76@example.org,(268)838-8516,2021-10-25,Uruguay,Pro,4823.6,Pending
CUST-1811,Richard Chandler,,(322)899-9362,2025-09-20,Palestinian Territory,Entrp,4372.02,Active
CUST-1349,Sarah Mills,ashley81@example.org,218.366.1794x54918,2025-06-04,Kyrgyz Republic,Basic,2501.88,Active
CUST-1399,   david keller  #,gibsonmiguel@example.org,(956)362-1286,2023-09-01,United Kingdom,Basic,2368.24,Active
CUST-1769,Christina Robinson,oschneider@example.org,(201)219-8756x17868,2026-04-13,Cote d'Ivoire,Enterprise,$2954.81,Active
CUST-1757,Crystal Graves,castroralph@example.net,001-220-382-8323,2022-12-06,Micronesia,Pro,3539.26,Pending
CUST-1031,Kyle Beard,blackjames@example.org,001-567-683-7770x1436,2025-01-16,Heard Island and McDonald Islands,Enterprise,4388.02,Inactive
CUST-1321,Diana Reeves,katelyn65@example.com,+1-496-278-4271x14773,2022-03-21,Austria,Pro,$3132.04,Inactive
CUST-1233,   danielle williams  #,ihansen@example.net,439.928.5574x9821,2023-03-15,Estonia,Enterprise,2170.47,Inactive
CUST-1798,Melinda Stevenson,kristine33@example.net,001-715-962-4152,2022-08-12,Western Sahara,Pro,3781.1,Inactive
CUST-1461,Diana Davis,huntercruz@example.com,967.569.5236x6878,2023-08-24,Mozambique,Pro,1596.99,Inactive
CUST-1124,   laura lloyd  #,michaelgonzalez@example.org,978-459-6969x155,2025-10-16,Romania,Enterprise,2167.05,Active
CUST-1832,Brittany Washington,washingtonashley@example.org,625.362.3899,2026-09-14,Kiribati,Pro,447.24,Pending
CUST-1239,   steve smith  #,jasonedwards@example.net,488-689-9210x752,2023-07-23,Myanmar,Enterprise,2632.65,Pending
CUST-1776,John Estrada,ricklewis@example.net,(391)601-5709x085,2023-02-25,Cocos (Keeling) Islands,Pro,3270.17,Inactive
CUST-1204,Mitchell Wilson,robertrivera@example.org,477.439.2603x0299,2024-11-14,Armenia,Entrp,4494.17,Inactive
CUST-1614,Kelly Ray,kathleen25@example.com,(429)806-0320x203,2023-05-03,Montserrat,Enterprise,916.69,Pending
CUST-1192,Tina Meyer,robertherrera@example.org,(233)355-5439x878,2025-01-25,Kiribati,Pro,433.54,Inactive
CUST-1833,Andrea Carson,frederick62@example.org,870.287.8211,2025-12-05,Panama,Enterprise,$708.3,Inactive
CUST-1017,Vanessa Cochran,vjohnson@example.com,(534)221-6073x37543,2025-01-08,Iran,Enterprise,1001.83,Active
CUST-1096,Stacy Anderson,,727-342-0549x32966,2023-09-23,Bhutan,Enterprise,829.29,Pending
CUST-1109,Julia Oconnor,gary87@example.org,+1-508-301-0062,2025-04-04,Algeria,Enterprise,$1362.74,Inactive
CUST-1337,Curtis Torres,rodriguezjohn@example.net,001-329-865-7724x29543,2023-07-24,India,Pro,4674.53,Pending
CUST-1996,Adam Payne,kbenson@example.org,(300)795-3662,2022-09-15,Mayotte,Enterprise,269.27,Pending
CUST-1812,ANGELA TURNER!!!,joeljackson@example.net,(939)983-5844x617,2022-10-25,Sri Lanka,Enterprise,2261.4,Pending
CUST-1161,Jeremiah Baker,anne21@example.org,+1-558-969-3806x86879,2023-03-21,Indonesia,Enterprise,4704.8,Pending
CUST-1241,Felicia Hobbs,hbutler@example.org,001-590-460-4805x8925,2021-12-22,Saint Martin,Pro,2351.13,Pending
CUST-1569,James Flowers,jennifer95@example.com,+1-464-403-8166x49690,2026-05-03,Turks and Caicos Islands,Pro,3398.0,Active
CUST-1992,Terri Bailey,lcosta@example.net,(462)554-2041,2026-03-13,New Zealand,Enterprise,4482.73,Pending
CUST-1372,Micheal Evans,floresrobert@example.com,861-303-3993x788,2023-01-25,Ghana,Enterprise,758.43,Inactive
CUST-1106,Sarah Davis,brettbennett@example.net,+1-501-539-8373x540,2026-07-14,British Indian Ocean Territory (Chagos Archipelago),Pro,1615.08,Active
CUST-1784,Kelly Wiggins,omay@example.org,6538440777,2022-07-14,Rwanda,Pro,2861.41,Active
CUST-1871,Richard Martinez,davidkane@example.com,6902016356,2024-01-08,Croatia,Basic,4033.02,Pending
CUST-1724,Andrew Smith,kristineprince@example.com,449-349-8194,2024-01-13,Timor-Leste,Basic,3032.19,Inactive
CUST-1169,Michelle Fletcher,rodney65@example.com,637-648-9691x085,2025-02-22,Liberia,basc,3311.31,Inactive
CUST-1879,Tammy Bush,nward@example.com,(715)762-3920x908,2022-04-04,Lithuania,Enterprise,1641.99,Inactive
CUST-1200,Monica Mcclain,hessbeth@example.net,808.548.8725,2026-03-07,Namibia,Entrp,146.68,Pending
CUST-1975,Christopher Wallace,ricky35@example.net,878.901.8915,2022-08-30,Fiji,Pro,4845.19,Inactive
CUST-1953,Leon Davila,barbara81@example.net,(883)818-0036,2021-10-29,Portugal,Basic,705.91,Active
CUST-1050,Erin Bishop,reidsteven@example.net,861-920-0471x1382,30/07/2023,Zambia,Enterprise,2562.93,Active
CUST-1238,Mrs. Heather Edwards DVM,megan66@example.net,293-698-3684x57760,2024-09-13,Maldives,Enterprise,807.31,Active
CUST-1453,Diana Anderson,dayjohn@example.org,+1-610-459-5518,2023-10-07,New Zealand,Enterprise,2676.26,Inactive
CUST-1324,Mr. Michael Keller,kalvarez@example.net,7642796954,2021-11-11,Aruba,PRO_tier,2218.67,Pending
CUST-1516,Caitlin Davis,portererin@example.com,001-933-712-6610x94101,2024-10-03,Tajikistan,Basic,428.08,Pending
CUST-1463,Kristen Velazquez,osanchez@example.org,001-421-226-0650x1917,2022-06-16,Cambodia,Pro,382.31,Active
CUST-1739,JONATHAN RODGERS!!!,sjohnson@example.com,(312)689-9151,2025-07-25,Ghana,Basic,2938.44,Active
CUST-1080,Chad Jones,rachelwallace@example.org,+1-555-418-8442x25831,2022-11-27,Lithuania,Basic,998.37,Pending
CUST-1690,Julie Morris,arobinson@example.org,9296087182,2025-03-17,Iceland,Basic,2515.29,Pending
